,name,latitude,longitude,distance,company,category
1,YamaSho,37.78659931408897,-122.42094890932789,881.0,Popego,karaoke
2,Cat Club,37.77532380183384,-122.40990075364923,1065.0,Popego,karaoke
3,Festa,37.78520644470807,-122.43157473939517,1163.0,Popego,karaoke
4,Mint Karaoke Lounge,37.770229456401246,-122.42578722973236,1022.0,Popego,karaoke
5,Fillmore Karaoke,37.782655099778,-122.43241825414658,1077.0,Popego,karaoke
6,The Royale,37.787487,-122.415215,1113.0,Popego,karaoke
7,OMG!,37.78062535400536,-122.40916797655771,1084.0,Popego,karaoke
8,Pagoda,37.785730475565,-122.42990881303339,1093.0,Popego,karaoke
9,RVIP Lounge & Karoke Cabaret,37.77585514405433,-122.40885061512955,1134.0,Popego,karaoke
10,Pandora Karaoke & Bar,37.784276930437834,-122.41048225556138,1132.0,Popego,karaoke
11,Butter,37.77112713444533,-122.41331456700858,1093.0,Popego,karaoke
12,Mogura,37.78506443032214,-122.4320240980752,1184.0,Popego,karaoke
13,kabuki karaoke club,37.78147719504365,-122.42952952414484,792.0,Popego,karaoke
14,Paradise Lounge,37.77164807,-122.41384143,1018.0,Popego,karaoke
15,Town Studio Karaoke,37.78483174642804,-122.43059070262233,1069.0,Popego,karaoke
16,Ichipub,37.78563921134004,-122.43005996544272,1095.0,Popego,karaoke
17,Do Re Mi Music Studio,37.78582369357999,-122.42837416049035,1012.0,Popego,karaoke
18,Dimples,37.78560399519242,-122.43000013067,1089.0,Popego,karaoke
19,Club Mari's,37.785044121787564,-122.43200903282339,1182.0,Popego,karaoke
20,Slate,37.76510749391503,-122.41808636265253,1536.0,Popego,karaoke
21,L 2 Karaoke,37.783386650148756,-122.43244272711809,1115.0,Popego,karaoke
22,Town Music Studio,37.78483783111673,-122.43063471417037,1073.0,Popego,karaoke
23,Encore Karaoke Lounge,37.79090925682605,-122.42007057086612,1364.0,Popego,karaoke
24,Annie's Social Club,37.779912,-122.403839,1537.0,Popego,karaoke
25,Mayes Oyster House,37.7883383584513,-122.4202791561086,1077.0,Popego,karaoke
26,BDUB Karaoke Jam,37.780609130859375,-122.40418243408203,1516.0,Popego,karaoke
27,Platform 248,37.77431023331896,-122.41237505793158,919.0,Popego,karaoke
28,Los Yaquis,37.767939995903745,-122.4178143813895,1233.0,Popego,karaoke
29,The Jambulance,37.763334,-122.41811200000001,1731.0,Popego,karaoke
30,Milo Lounge,37.785644844245695,-122.4300621336405,1096.0,Popego,karaoke
0,The Tree Fort,37.763275505806355,-122.44492603998506,1867.0,Netbiscuits,sport
0,The Tree Fort,37.763275505806355,-122.44492603998506,2699.0,Popego,sport
0,The Tree Fort,37.763275505806355,-122.44492603998506,3411.0,Ecolect,sport
0,The Tree Fort,37.763275505806355,-122.44492603998506,4438.0,Digg,sport
0,Netbiscuits,37.7550372,-122.4264417,,,offices
1,Popego,37.778687,-122.421242,,,offices
2,Ecolect,37.776769,-122.410111,,,offices
3,Digg,37.764726,-122.394523,,,offices
